Edad,Frecuencia_Compras,Monto_Promedio,Tiempo_Cliente,Satisfaccion
65,6,781.7573401073091,51,Medio
40,15,32.22475594701143,53,Bajo
41,0,603.8869301722469,58,Bajo
54,16,698.4565642600271,37,Alto
52,8,827.2037425383223,49,Medio
61,5,65.44228584961016,3,Bajo
57,18,485.3067496727635,19,Medio
39,12,540.0171639120103,1,Medio
44,2,177.43361401773626,29,Bajo
52,6,329.2253116135431,23,Medio
18,8,445.8195089936035,33,Medio
52,4,834.8775910782234,55,Bajo
54,9,930.1134904095048,52,Medio
64,16,632.1386006284962,41,Alto
31,11,400.99573416124747,23,Medio
20,15,261.4907076209961,5,Medio
18,2,982.3138325917889,7,Bajo
22,8,983.1897980955948,57,Medio
43,14,925.7271787526844,58,Alto
31,4,787.812458379041,6,Bajo
56,12,332.52174830816205,49,Medio
44,13,818.8304786626544,22,Alto
26,19,414.70508709846087,49,Medio
32,14,333.50536717349473,13,Medio
32,15,747.4167048816167,12,Alto
43,12,88.85738834421866,4,Bajo
59,16,58.077096062705074,8,Bajo
30,7,453.47416020937374,37,Medio
68,1,451.1824128139403,31,Bajo
49,4,896.6877115331965,37,Bajo
56,5,134.89156532493863,45,Bajo
66,11,132.05108817788866,26,Bajo
69,17,155.97807447015217,43,Bajo
49,0,39.43889868165658,8,Bajo
21,16,81.0144204367593,40,Bajo
47,10,663.2711681607486,33,Alto
54,9,437.26848582633414,45,Medio
40,18,765.9670364171335,29,Alto
56,13,992.6717413958436,5,Medio
62,9,662.4443342880113,28,Medio
32,14,59.9510149139225,53,Bajo
60,18,113.5172361067981,40,Bajo
46,3,882.1940439665608,17,Bajo
53,1,532.2209851126789,55,Bajo
30,8,826.5887878017826,23,Medio
49,9,858.0462128626768,45,Medio
24,10,928.397796084524,9,Medio
68,13,950.330913431502,2,Medio
39,6,559.2775385382731,32,Medio
45,14,347.60997053347353,51,Medio
19,18,962.2462256045186,52,Alto
59,14,551.932341941213,49,Alto
62,7,73.61019572506493,31,Bajo
23,10,646.3487845592664,7,Medio
45,8,591.8079028910606,30,Medio
45,14,896.8349441657589,58,Alto
61,0,656.6553172662343,3,Bajo
61,0,355.56190021693584,51,Bajo
37,18,966.5634684487623,51,Alto
47,2,803.6032911222132,56,Bajo
28,9,634.1134421975408,9,Medio
45,7,299.99595136909164,10,Medio
42,14,379.8048933511526,46,Medio
56,9,673.2702248556901,50,Medio
50,0,81.2610102786885,58,Bajo
18,17,264.11378573376084,47,Medio
44,1,716.761924062632,26,Bajo
69,18,485.2183247461747,1,Medio
30,12,408.3696291662858,30,Medio
58,0,159.94304617641035,57,Bajo
20,1,447.4305441329553,38,Bajo
56,15,772.9850510526315,15,Alto
23,14,271.3727176111741,25,Medio
25,12,15.34455676184064,6,Bajo
44,15,671.819852139473,18,Alto
26,16,972.900338388227,1,Medio
54,6,610.758297952697,56,Medio
50,16,128.72264033785882,3,Bajo
68,6,327.5257614212263,17,Medio
59,12,868.9651985730211,48,Alto
61,4,240.2423935142603,8,Bajo
41,16,611.6189444626319,49,Alto
32,2,408.64449617145783,40,Bajo
49,6,215.76528420545253,17,Medio
49,16,815.2728246290328,25,Alto
41,6,745.4029637010334,41,Medio
58,0,664.9751552996728,12,Bajo
69,16,243.97322436606368,29,Medio
66,16,106.87843268928553,25,Bajo
66,10,580.3977365277066,51,Alto
69,2,558.141055204039,36,Bajo
29,14,196.50115924152428,53,Bajo
56,10,65.68422737202076,54,Bajo
19,15,89.90136965204611,25,Bajo
20,8,992.8432766476064,29,Medio
66,0,785.7480557954549,11,Bajo
54,15,922.7676012055209,4,Medio
66,8,203.1041750139997,14,Medio
34,18,960.9628509602007,46,Alto
66,11,151.22780795843045,38,Bajo
19,18,513.9910102808064,17,Alto
19,8,831.3987275728933,2,Medio
45,6,356.3053209664636,8,Medio
40,13,430.5802478451315,36,Medio
54,18,136.9032591961069,10,Bajo
49,18,131.69266119898302,7,Bajo
50,1,623.372542530873,36,Bajo
18,8,678.7770449338561,16,Medio
36,12,779.5591889413713,14,Alto
19,14,561.1152321549359,16,Alto
61,2,649.3016993386929,25,Bajo
43,10,23.38209898272286,41,Bajo
49,13,170.54901986581618,4,Bajo
23,7,985.0656183567356,29,Medio
49,17,85.23357125267347,56,Bajo
21,18,682.0003400376424,6,Medio
28,15,184.32180670139905,1,Bajo
34,1,719.5513999099655,39,Bajo
55,7,708.9304989323736,1,Medio
41,5,241.8570691902093,51,Medio
22,11,276.9380552270121,40,Medio
69,14,658.2230064660674,57,Alto
51,7,396.1851783924115,3,Medio
23,3,202.60249000291216,1,Bajo
39,14,734.3628027996069,1,Medio
28,19,162.60604909297084,39,Bajo
65,16,857.0872275034972,21,Alto
33,12,519.5228288113092,45,Alto
50,17,114.64359784050768,30,Bajo
26,1,697.1316101956745,32,Bajo
23,12,523.971409178795,33,Alto
33,12,305.0769960768614,48,Medio
46,14,428.3139864216163,22,Medio
20,19,305.35436615162376,30,Medio
37,9,270.3955773853562,54,Medio
53,2,171.97233663527507,46,Bajo
36,18,369.1394618061011,4,Medio
43,2,258.47733425291005,23,Bajo
20,13,686.6001421833779,55,Alto
36,7,687.0379737516732,44,Medio
37,3,506.821840130082,25,Bajo
49,19,780.1650821956179,12,Alto
24,10,842.9263218159878,17,Alto
69,10,583.9687928599304,53,Alto
58,10,622.7458111357994,15,Alto
50,1,290.05705068850153,10,Bajo
57,16,895.9205086984646,35,Alto
56,8,33.963983978304526,55,Bajo
35,1,355.1164447484172,52,Bajo
57,14,724.5824173343575,52,Alto
18,15,89.28861457444962,29,Bajo
28,3,191.3378321540097,12,Bajo
45,7,593.3928705842227,1,Medio
42,8,564.3937347489224,1,Medio
67,4,741.5390131696455,10,Bajo
40,15,814.4865126972901,18,Alto
48,12,137.29378272655242,47,Bajo
47,6,28.19717987748963,2,Bajo
59,19,692.742134462317,49,Alto
52,16,308.37787780869564,8,Medio
24,2,629.724074778774,22,Bajo
33,4,159.03914218160247,22,Bajo
43,18,474.34964619930327,26,Medio
65,11,509.38049860280256,26,Alto
69,6,589.2270382094839,9,Medio
66,8,518.0383161672587,21,Medio
19,5,500.7338625264267,31,Medio
18,16,339.40681244401696,52,Medio
65,15,80.46843395490536,43,Bajo
29,2,98.62499482887388,6,Bajo
22,3,439.4404916630821,56,Bajo
54,9,362.2351965427831,14,Medio
49,4,520.9734566277527,33,Bajo
26,9,311.7897875637043,7,Medio
58,11,691.0309905407711,24,Alto
52,9,865.3152737894154,9,Medio
36,12,305.874556898999,11,Medio
65,10,201.0541678596383,56,Medio
33,15,125.01876851154823,23,Bajo
20,7,620.0915001651043,48,Medio
37,7,449.4174312291637,51,Medio
41,7,196.13556002432605,2,Bajo
50,12,656.6053659589369,15,Alto
41,1,156.99835117523156,35,Bajo
69,11,558.757698789473,36,Alto
28,9,531.876897809012,52,Medio
66,11,736.8855231742225,54,Alto
25,10,64.5585435412601,28,Bajo
53,14,888.994202532817,39,Alto
55,15,705.9618088853513,44,Alto
57,16,223.9647383652746,4,Medio
37,1,191.57129512364227,10,Bajo
52,17,437.3436120023456,6,Medio
65,11,819.389676249151,57,Alto
42,18,844.5204932077161,30,Alto
52,17,525.2515312179892,54,Alto
42,16,862.2027540598701,46,Alto
46,5,15.389272099773665,35,Bajo
35,14,44.822885216280646,49,Bajo
63,2,912.7033777003753,43,Bajo
35,5,777.5786105870569,10,Medio
19,2,456.1989976678818,58,Bajo
52,0,756.0740301632073,53,Bajo
33,12,956.0830671061874,32,Alto
58,13,774.3686286424722,42,Alto
53,12,843.9476204801388,42,Alto
50,3,763.0005155761611,3,Bajo
21,6,176.52898150920618,56,Bajo
50,9,835.2383685492794,26,Medio
31,6,203.15773182396794,15,Medio
38,14,893.6852147637055,17,Alto
65,14,464.06339910026514,27,Medio
37,3,680.2069847879183,18,Bajo
25,5,502.26843940183704,51,Medio
24,19,103.05102012243601,19,Bajo
20,4,297.81508454445844,12,Bajo
34,19,983.894535457036,24,Alto
50,11,961.1076041531192,5,Medio
65,0,327.2820286789918,24,Bajo
29,7,996.3338362027736,27,Medio
68,0,847.0956835419306,48,Bajo
39,4,614.8499044379322,30,Bajo
39,5,49.72337405839939,15,Bajo
63,2,902.4323612429957,47,Bajo
47,14,561.8549864716765,59,Alto
55,4,869.7913896907419,38,Bajo
55,13,836.0848287066849,44,Alto
62,17,834.6761530490752,34,Alto
68,15,701.1921221077561,27,Alto
25,5,298.50098728928816,20,Medio
44,13,342.7986551670746,41,Medio
44,7,315.3845204568595,32,Medio
51,6,29.84553953723905,4,Bajo
38,7,586.743220122663,5,Medio
47,12,701.8453337415725,53,Alto
50,5,855.3273335899515,58,Medio
45,17,148.76377904890305,8,Bajo
64,1,548.7413174870337,22,Bajo
50,7,17.92805926704503,42,Bajo
22,10,104.14271123362218,7,Bajo
65,0,63.66962676393313,22,Bajo
36,5,728.2232536753321,46,Medio
21,15,90.24896823882713,30,Bajo
52,19,719.2884517432021,37,Alto
66,11,257.1284573664775,16,Medio
34,10,878.9358310899701,15,Alto
61,9,815.018488480176,5,Medio
45,2,958.2519153005237,3,Bajo
47,12,884.9243953034515,23,Alto
46,2,933.9961249251838,10,Bajo
63,14,860.1549725481747,5,Medio
23,15,696.4480816087068,23,Alto
52,12,178.5565606041816,15,Bajo
58,16,278.990443665552,18,Medio
54,2,220.59969646897036,25,Bajo
41,19,607.5499297816235,8,Medio
46,10,508.58373859386535,31,Alto
66,18,868.4091971868394,21,Alto
63,10,953.1461378340849,2,Medio
48,15,410.8112907219629,22,Medio
52,2,511.2870477480042,8,Bajo
50,5,971.8011932360978,23,Medio
69,13,283.4765522069121,32,Medio
38,17,794.4668676052255,8,Medio
49,16,232.98750331189382,4,Medio
40,3,684.6455142710192,30,Bajo
50,14,261.07947136217854,19,Medio
20,10,884.896054943073,23,Alto
35,2,565.86316429931,18,Bajo
42,2,194.07430446564072,53,Bajo
59,15,232.12548394150116,29,Medio
48,4,498.91070375101924,23,Bajo
20,9,961.9860053191301,33,Medio
57,18,771.9457422448179,52,Alto
63,3,493.42654639758666,47,Bajo
41,18,344.3419531165949,18,Medio
67,10,553.7758084149582,54,Alto
49,1,750.8772250943335,44,Bajo
64,9,786.089302568272,33,Medio
39,10,331.3627101159752,7,Medio
40,19,723.9476755317385,51,Alto
19,15,661.2108922358243,28,Alto
44,18,959.5211690763309,1,Medio
59,10,931.7793876029347,56,Alto
19,13,791.4855323475413,39,Alto
43,1,726.1607419663791,34,Bajo
34,4,281.30117380723306,39,Bajo
57,4,847.505603537548,19,Bajo
50,18,433.2306466762325,31,Medio
26,11,279.5181370809842,13,Medio
60,17,390.31915037392787,57,Medio
65,3,837.5761351163428,24,Bajo
56,16,157.14688342210616,5,Bajo
46,9,461.59715370862426,23,Medio
59,19,497.4340185841948,19,Medio
43,5,46.263400622831206,1,Bajo
52,13,203.7885692526837,33,Medio
67,10,828.4750042900979,59,Alto
42,10,832.4597147088131,50,Alto
41,17,299.4909330454055,56,Medio
30,17,876.148262251947,33,Alto
24,10,774.0651096776644,32,Alto
53,11,423.7284089574553,59,Medio
62,4,750.9222809609875,28,Bajo
37,8,961.7212848828582,37,Medio
18,8,464.38002088469534,41,Medio
25,9,246.0429071639488,12,Medio
63,18,942.3983350496543,9,Medio
33,0,607.7068456776238,50,Bajo
31,6,114.21251085562102,55,Bajo
29,3,576.9559876981226,11,Bajo
68,0,505.5750805538157,33,Bajo
40,14,857.0330051348077,19,Alto
32,7,535.3882378658861,54,Medio
45,11,262.6801100008406,57,Medio
51,17,678.8876232262396,42,Alto
19,14,547.1496980102244,34,Alto
49,16,240.71418198420372,7,Medio
40,13,577.8915793634787,31,Alto
39,13,823.3202221107892,52,Alto
68,17,38.285208546770335,2,Bajo
42,19,634.5425282586606,19,Alto
39,17,356.08934382654814,38,Medio
39,15,299.7447313018299,32,Medio
66,0,398.66187285750016,10,Bajo
69,10,348.60243760550185,41,Medio
59,14,833.9167156413572,8,Medio
23,11,282.04983266022157,26,Medio
32,7,735.8214928755195,30,Medio
60,19,103.11922202630284,11,Bajo
54,5,951.8824087595714,41,Medio
50,2,626.0934708760662,20,Bajo
25,12,709.6513912741145,20,Alto
61,12,305.0589387735065,9,Medio
61,1,417.97560302103346,8,Bajo
22,4,231.54060240826647,15,Bajo
56,16,933.2107249442017,34,Alto
21,5,493.2234026303639,24,Medio
23,1,634.14363450141,33,Bajo
62,3,736.9293102254082,41,Bajo
49,10,377.39503018854356,41,Medio
69,7,722.9006379937498,45,Medio
47,11,679.2325648587768,40,Alto
64,7,708.6027405352071,27,Medio
52,10,494.33760120256676,21,Medio
57,19,389.1080084687009,5,Medio
69,7,229.86136632689994,35,Medio
33,7,826.380089272884,21,Medio
30,16,612.2665460663619,4,Medio
67,19,449.90867413652006,49,Medio
59,19,944.5559476435053,48,Alto
47,15,57.36042438196842,16,Bajo
36,13,851.6702257529971,57,Alto
34,10,997.6067670165127,31,Alto
36,6,888.0726897740386,26,Medio
45,15,812.332219759469,52,Alto
43,12,380.5629334722614,35,Medio
54,14,239.00104043967056,6,Medio
43,15,737.502015294605,33,Alto
40,8,311.5296126256827,21,Medio
26,2,184.27928533342097,16,Bajo
29,18,788.6606282325554,47,Alto
18,19,319.418215714355,39,Medio
18,4,915.297312192465,34,Bajo
64,9,842.226318370934,42,Medio
51,16,849.1639262141626,57,Alto
49,14,773.8540287952679,15,Alto
65,7,882.0726095369893,6,Medio
42,14,807.689423256339,2,Medio
57,13,606.4862499389814,24,Alto
62,19,302.8644913960445,56,Medio
18,6,889.3271012820076,49,Medio
33,11,842.19758654546,28,Alto
56,16,478.15052898843965,1,Medio
22,16,48.68789914193564,1,Bajo
39,9,642.1582901278944,28,Medio
46,18,60.09088513981592,36,Bajo
20,13,927.0171622299232,20,Alto
29,10,962.014944059054,48,Alto
43,1,197.59524444060818,8,Bajo
33,17,679.6254842743608,1,Medio
68,6,101.34631451713514,26,Bajo
54,11,732.2217592873909,51,Alto
39,1,353.81478949114785,43,Bajo
46,19,684.2396106131408,49,Alto
31,17,379.14774411015605,25,Medio
45,5,154.1118347349034,10,Bajo
22,9,412.0488806975323,12,Medio
64,19,121.54679136844211,41,Bajo
66,14,581.1144422271764,7,Medio
47,4,50.54201682798498,12,Bajo
63,19,532.0464828038611,47,Alto
69,2,887.5049606245855,40,Bajo
22,4,839.4945374181691,17,Bajo
29,7,883.9538826302318,5,Medio
33,7,922.8283141058362,14,Medio
43,7,113.48260899693729,34,Bajo
43,11,137.45973084695595,48,Bajo
65,7,561.4367382499973,17,Medio
38,10,895.0329417401849,35,Alto
56,13,974.6059619587904,55,Alto
53,7,55.79929816659996,1,Bajo
50,9,362.21634335865355,59,Medio
47,6,220.76531211339352,50,Medio
54,16,758.4061904419356,50,Alto
40,3,643.7919298516616,36,Bajo
27,12,128.68915116900695,15,Bajo
22,3,488.68684669132176,19,Bajo
53,4,688.5861171475784,51,Bajo
51,3,781.2153399847973,42,Bajo
69,17,29.85218268616844,5,Bajo
48,5,891.5648782440509,19,Medio
27,1,573.5885691210192,43,Bajo
36,10,813.7900238103057,39,Alto
49,13,809.8586497141406,5,Medio
18,4,197.95413366825946,52,Bajo
22,5,119.07039905109677,12,Bajo
62,9,724.0743962840884,19,Medio
21,7,164.8626496334029,47,Bajo
33,13,851.4381164906765,12,Alto
41,2,728.9275890234841,36,Bajo
33,11,843.4071107216099,12,Alto
19,15,306.0225528132526,18,Medio
66,16,323.4320798064633,49,Medio
45,0,674.5093407828545,51,Bajo
49,9,41.131495508358064,48,Bajo
44,9,729.2317788740485,43,Medio
37,1,837.4252401460552,34,Bajo
41,8,421.011950738063,48,Medio
29,12,767.230041787584,33,Alto
67,15,182.86480781243932,49,Bajo
52,17,329.0377898812898,18,Medio
50,18,974.5619134793726,57,Alto
50,11,986.464891824525,29,Alto
68,7,517.4790024913721,45,Medio
60,16,934.9270935492382,5,Medio
54,14,527.5033712762861,25,Alto
29,9,298.67224687954575,24,Medio
20,14,274.23029521778415,29,Medio
18,14,930.2106483144673,59,Alto
50,6,180.72192508412053,38,Bajo
57,12,583.8361336198,33,Alto
27,16,559.9698173820924,10,Medio
60,8,742.225467806465,37,Medio
61,7,504.250478449527,33,Medio
46,19,279.56280410105285,23,Medio
30,17,177.70253463526277,58,Bajo
29,12,624.6106154708328,11,Medio
48,15,721.8008492847008,24,Alto
63,8,573.8260658952123,24,Medio
19,11,740.9677643499828,7,Medio
68,11,150.10599042546053,50,Bajo
67,5,883.6454929937041,21,Medio
52,18,586.571553324418,20,Alto
40,6,135.5754876236712,53,Bajo
34,2,467.30595216367766,10,Bajo
43,15,846.3438204872523,25,Alto
25,17,898.5865715186285,47,Alto
46,15,272.00300994877387,36,Medio
43,6,714.1531664633485,48,Medio
27,3,108.98539500893892,47,Bajo
43,7,43.21041269803624,15,Bajo
51,12,564.7949642817433,44,Alto
68,12,697.8793035348447,40,Alto
58,16,797.828863864737,40,Alto
24,16,346.8140760707813,50,Medio
21,4,16.46015632459812,6,Bajo
67,5,484.7240447402403,37,Medio
62,18,25.69500991983131,2,Bajo
28,12,101.06466556409194,12,Bajo
46,13,333.42213230643085,58,Medio
53,3,442.8003290645754,4,Bajo
42,6,286.67474681735206,23,Medio
38,7,586.0466138396607,13,Medio
53,12,64.79629132591424,17,Bajo
27,5,153.13391313718887,31,Bajo
54,5,698.3058167478792,16,Medio
26,2,150.71944506193856,41,Bajo
41,2,643.3774495547182,26,Bajo
52,12,64.13777454583189,28,Bajo
66,1,413.308456327949,1,Bajo
52,15,185.63537541997053,47,Bajo
65,5,118.53991970983456,12,Bajo
53,7,571.3624556662153,37,Medio
35,7,929.0524142855655,55,Medio
66,5,64.23917744431334,56,Bajo
56,13,427.33870573585386,50,Medio
49,2,710.4600833679892,20,Bajo
41,9,468.06095337094877,2,Medio
40,2,808.4309866441928,36,Bajo
49,11,187.84886270549038,15,Bajo
54,16,959.9982629774631,38,Alto
29,4,391.3110014948151,22,Bajo
66,19,348.1539366148324,44,Medio
30,8,875.8597365581343,50,Medio
40,19,568.2283615728489,32,Alto
42,6,521.2798984837933,59,Medio
52,3,729.7081403331466,20,Bajo
58,12,584.0358958982795,36,Alto
47,12,170.89048830954417,33,Bajo
34,9,677.4556466362803,15,Medio
66,17,142.1341904893072,50,Bajo
37,16,807.7991282807213,46,Alto
65,19,989.8392317351482,3,Medio
42,19,383.61374872502853,29,Medio
39,12,450.30833921999243,47,Medio
30,16,55.96931892798418,27,Bajo
36,3,23.595856201752504,5,Bajo
66,0,922.2051415275644,59,Bajo
53,0,137.33781983480014,56,Bajo
29,14,451.3209600838756,31,Medio
58,12,817.2010776170058,22,Alto
36,16,890.4255723290363,35,Alto
29,7,524.203708430633,54,Medio
26,17,569.3821997261903,7,Medio
24,12,672.9871327386397,6,Medio
45,13,961.7686454422781,26,Alto
31,7,606.6432613350601,54,Medio
48,7,563.8805068617828,1,Medio
69,14,24.388793913330773,19,Bajo
36,12,90.14020500213252,7,Bajo
64,6,581.3999103577563,36,Medio
33,4,936.8779839291311,12,Bajo
22,16,868.024434915401,20,Alto
52,15,982.7531337622826,23,Alto
29,1,532.5556971856613,25,Bajo
42,17,790.0516290533892,30,Alto
69,16,841.9963281744471,59,Alto
38,6,651.5513407575531,29,Medio
53,12,345.3624051723622,31,Medio
40,17,475.2786503112165,18,Medio
33,13,859.337901521132,41,Alto
56,17,305.5624467223423,19,Medio
62,12,924.505699953982,54,Alto
59,10,237.50827800843845,4,Medio
56,15,752.0212510052129,1,Medio
31,16,634.2536420022809,41,Alto
48,7,752.1034467095546,59,Medio
22,18,442.97409670826886,15,Medio
52,19,933.3146519284447,54,Alto
40,14,636.1474803873626,8,Medio
46,8,295.41284650871376,15,Medio
60,19,642.0705199456222,15,Alto
28,9,293.94758973496084,50,Medio
35,11,300.69606784227545,39,Medio
64,19,405.60252650465924,22,Medio
29,0,853.9061133934277,18,Bajo
26,19,505.29489565005207,16,Alto
27,8,682.1118338079053,2,Medio
61,14,398.0480628717184,36,Medio
34,0,270.9693854088126,20,Bajo
55,11,955.0937591090691,16,Alto
24,2,607.545434651832,3,Bajo
63,10,934.6118251968911,56,Alto
30,1,211.3788721763319,30,Bajo
57,15,155.42522227380343,55,Bajo
59,8,857.2646780526646,2,Medio
26,14,684.1080404910789,35,Alto
67,11,194.71271426110494,26,Bajo
44,0,276.6661036569024,57,Bajo
19,12,802.657302110058,5,Medio
22,13,459.32993379597673,2,Medio
46,7,673.83510144103,51,Medio
54,7,325.1685019146508,56,Medio
55,11,387.41765324712793,20,Medio
36,0,990.805433036874,34,Bajo
25,10,255.14091630297133,34,Medio
65,7,511.3918132661489,54,Medio
62,9,845.9583197586269,56,Medio
18,18,246.8309815291994,55,Medio
39,10,421.0616191174874,20,Medio
69,6,618.9403744962884,50,Medio
34,10,486.3762699603515,25,Medio
24,16,464.9072439046143,20,Medio
42,0,368.88463400890237,25,Bajo
62,7,590.7798644971758,53,Medio
21,5,628.1289709443741,14,Medio
53,17,656.756645492349,47,Alto
23,5,79.66442682696902,44,Bajo
48,4,634.7238339549284,43,Bajo
36,12,953.7048069934204,43,Alto
61,18,545.5763731728028,39,Alto
56,7,718.1144116841518,12,Medio
44,8,561.1649846816256,48,Medio
27,16,856.1932124060589,5,Medio
43,2,930.2872636515932,2,Bajo
36,18,192.3777003033957,54,Bajo
56,10,442.4914361915553,16,Medio
20,16,398.4582799233941,55,Medio
62,18,411.1629720662859,30,Medio
30,1,134.26893941559712,47,Bajo
67,7,815.4795687209121,43,Medio
45,18,45.408580584785895,38,Bajo
37,6,532.9443416498854,45,Medio
45,16,665.2596041642444,51,Alto
25,5,215.39474367828842,42,Medio
58,18,906.7916901778076,24,Alto
56,5,840.1637149545452,51,Medio
18,1,476.37289218908603,30,Bajo
20,5,417.0374430167373,37,Medio
30,4,244.20224595898904,57,Bajo
45,18,732.693292398514,59,Alto
66,19,140.4263616356445,53,Bajo
42,3,683.4353763053452,39,Bajo
50,16,844.0324162572294,11,Medio
55,10,236.1868601578535,14,Medio
23,3,867.7631288697686,23,Bajo
61,12,42.98996744511337,53,Bajo
62,19,913.6595115326601,16,Alto
49,16,127.17860557278505,50,Bajo
62,8,649.3015861586523,21,Medio
64,3,257.5816442248024,55,Bajo
38,13,838.1868672579176,55,Alto
33,18,517.1773573063118,4,Medio
38,2,143.88877933403634,33,Bajo
28,13,575.2816556127186,54,Alto
54,7,413.8037840950133,47,Medio
53,0,664.8333384469702,14,Bajo
52,9,883.0842519158249,19,Medio
36,17,415.2952398715843,59,Medio
37,15,296.9818727385211,5,Medio
35,7,24.36994358233271,36,Bajo
64,0,579.0906474812762,31,Bajo
58,11,408.25201975711917,45,Medio
66,7,380.9027268246804,18,Medio
31,15,191.1059680713704,44,Bajo
32,17,435.75479173936156,31,Medio
48,3,984.5975340475346,55,Bajo
18,5,304.7766121355219,30,Medio
20,11,603.7073692740192,21,Alto
33,8,778.7220125025101,47,Medio
40,14,751.6662449447664,30,Alto
28,15,335.48654461766483,55,Medio
